url,filename,loader,comment
"https://www.curseforge.com/api/v1/mods/419699","Architectury API","forge",""
"https://www.curseforge.com/api/v1/mods/314906","FTB Chunks","forge",""
"https://www.curseforge.com/api/v1/mods/404465","FTB Library","forge",""
"https://www.curseforge.com/api/v1/mods/404468","FTB Teams","forge",""
"https://www.curseforge.com/api/v1/mods/237307","Cosmetic Armor Reworked","forge",""
"https://cdn.modrinth.com/data/NcUtCpym","Xaero's World Map","forge",""
"https://cdn.modrinth.com/data/EsAfCjCV","AppleSkin","forge",""
"https://cdn.modrinth.com/data/uXXizFIs","FerriteCore","forge",""
"https://cdn.modrinth.com/data/QAGBst4M","PuzzlesLib","forge",""
"https://cdn.modrinth.com/data/AVq17PqV","LeavesBeGone","forge",""
"https://cdn.modrinth.com/data/NRjRiSSD","Memory Leak Fix","forge",""
"https://cdn.modrinth.com/data/qQyHxfxd","NoChatReports","forge",""
"https://cdn.modrinth.com/data/nvQzSEkH","Jade","forge",""
"https://cdn.modrinth.com/data/fRiHVvU7","EMI","forge",""
"https://cdn.modrinth.com/data/qbbO7Jns","EMI Loot","forge",""
"https://cdn.modrinth.com/data/j2HhbEE7","EMI Trades","forge",""
"https://cdn.modrinth.com/data/11hKNQb2","EMI Enchants","forge",""
"https://cdn.modrinth.com/data/705gWllI","EMIffect","forge",""
"https://cdn.modrinth.com/data/sG4TqDb8","EMI Ores","forge",""
"https://cdn.modrinth.com/data/smUP7V3r","Durability Tooltip","forge",""
"https://cdn.modrinth.com/data/EltpO5cN","Lootr","forge",""
"https://cdn.modrinth.com/data/8oi3bsk5","Terralith Forge","forge",""
"https://cdn.modrinth.com/data/lWDHr9jE","Tectonic Forge","forge",""
"https://cdn.modrinth.com/data/hYykXjDp","Fzzy Config","forge",""
"https://cdn.modrinth.com/data/LN9BxssP","SuperMartijn642's Config Lib","forge",""
"https://cdn.modrinth.com/data/ordsPcFz","Kotlin for Forge","forge",""
"https://cdn.modrinth.com/data/8BmcQJ2H","Geckolib","forge",""
"https://cdn.modrinth.com/data/s3dmwKy5","GlitchCore","forge",""
"https://cdn.modrinth.com/data/Ua7DFN59","YUNG's API","forge",""
"https://cdn.modrinth.com/data/o1C1Dkj5","YUNG's Better Dungeons","forge",""
"https://cdn.modrinth.com/data/Z2mXHnxP","YUNG's Better Nether Fortresses","forge",""
"https://cdn.modrinth.com/data/HjmxVlSr","YUNG's Better Mineshafts","forge",""
"https://cdn.modrinth.com/data/3dT9sgt4","YUNG's Better Ocean Monuments","forge",""
"https://cdn.modrinth.com/data/kidLKymU","YUNG's Better Strongholds","forge",""
"https://cdn.modrinth.com/data/t5FRdP87","YUNG's Better Witch Huts","forge",""
"https://cdn.modrinth.com/data/z9Ve58Ih","YUNG's Better Jungle Temples","forge",""
"https://cdn.modrinth.com/data/2BwBOmBQ","YUNG's Better End Island","forge",""
"https://cdn.modrinth.com/data/Ht4BfYp6","YUNG's Bridges","forge",""
"https://cdn.modrinth.com/data/XNlO7sBv","YUNG's Better Desert Temples","forge",""
"https://cdn.modrinth.com/data/ZYgyPyfq","YUNG's Extras","forge",""
"https://cdn.modrinth.com/data/cs7iGVq1","YUNG's Cave Biomes","forge",""
"https://cdn.modrinth.com/data/yID404Mu","Scorched","forge",""
"https://cdn.modrinth.com/data/kkmrDlKT","TerraBlender","forge",""
"https://cdn.modrinth.com/data/HXF82T3G","Biomes O' Plenty","forge",""
